text,tool
дарова я артем,save_memory
помнишь я тебе рассказывал что моего дядю зовут данил?,get_memory
а этого человека помнишь{image}?,describe_image

салам,none
у меня есть друг - гриша,save_memory
а вот кстати и он{image},add_face_to_db
помнишь этого человечка{image}?,get_memory

Привеееет!! Я Миша мне 6 лет,save_memory
Прекиинь мы сегодня с толиком и аней едем в аквапарк,none
Забыл сказать толик это мой папа а аня моя мама,save_memory
Ты же знаешь что у меня есть сабака - Геннадий?,get_memory

узнаешь этого человечка?{image},describe_image
а этого? {image},describe_image
а это кстати Саша - мой отец{image},add_face_to_db

ты же помнишь что у меня есть кошка?,get_memory
она такая большая и ленивая,none
а еще ее зовут Рыся,save_memory
вот смотри вот она {image},describe_image

прикинь мне родители купили крутой лего набор!!!,none
там короче машинка такая большая красненькая,none
я ее буду наверное очень долго собирать,none
я оччень люблю лего!!!!!,save_memory

а ты любишь динозавров?,none
расскажи что нибудь про них: какие самые популярные виды были и самые большие и сильные,none
{какой то динозавр из инфы от бота} - мне он оч нравится запомни это!,save_memory

а у тебя есть собака?,none
у меня тоже нету собаки :(((,none
но скоро мне мой папа Жора купит собачку,save_memory
я планирую назвать ее Мира,save_memory

ты прикинь скоро у меня день рождения!!,none
мне исполнится целых 13 лет!!,save_memory
запомни что мое день рождения xx.xx.xxxx года,save_memory
буду ждать от тебя поздравлений,none

кстати ты же знаешь что я очень люблю путешествовать?,get_memory
я побывал в 50 странах!!!,save_memory
а больше всего мне понравилась страна "Нигер",save_memory

поздравь меня!!!,none
мой папа сегодня устроился на новую работу,save_memory
раньше он отклеивал наклейки от бананов а теперь мы переехали в Москву и он шеф повар!!,save_memory

хммм а как бы выглядела земля 100000 лет назад?,text_to_image
а давай посмотрим на нее в другом стиле к примеру аниме?,image_text_to_image
а хотя не давай супер дупер пупер реалистично,image_text_to_image

смотри какой у меня крутой хомяк!!!! {image},describe_image
сделай его более брутальным и вообще чтобы он был в крутой дорогой машине и сзади был дорогой дом,image_text_to_image
сделай еще более крутым!!!,image_text_to_image

а покажи какое нибудь древнее животное,text_to_image
ооо это же саблезубый тигр? опиши что на картинке,describe_image
запомни что это мой любимый зверь,save_memory

смотри моя сестра нарисовала дракона! {image},describe_image
а сделай чтобы он был как в мультике,image_text_to_image
еще добавь огня изо рта,image_text_to_image

я тут фоткал море {image},describe_image
а давай сделаем чтобы там были динозавры,image_text_to_image
ты же запомнишь что я видел динозавра в море? шутка,save_memory

как бы выглядела машина будущего? придумай,text_to_image
офигенно! а теперь в стиле киберпанк,image_text_to_image
напомни что я хочу такую тачку когда вырасту,save_memory

это мой друг Колян {image},add_face_to_db
а это его собака! {image},describe_image
мы с ним вчера в футбол играли,none

вот мой дедушка {image},add_face_to_db
а опиши что на фото,describe_image
ты же знаешь он ветеран и у него медали?,get_memory

хочу увидеть робота-повара,text_to_image
а теперь чтобы он готовил пиццу,image_text_to_image
круууто! запомни что это мой будущий робот,save_memory

смотри какую игрушку мне подарили {image},describe_image
а сделай ее больше и страшнее,image_text_to_image
пусть у нее лазеры будут!,image_text_to_image

описали что на этой картинке? {image},describe_image
нет это не моя мама а тетя Катя,describe_image
запомни ее имя,save_memory

как выглядит замок принцессы? нарисуй,text_to_image
а теперь добавь единорогов и радугу,image_text_to_image
я хочу чтобы ты знал что это мой будущий дом,save_memory

вот мой братик {image},add_face_to_db
ему всего 2 года,save_memory
а это он с игрушкой {image},describe_image

привет! я сегодня ел мороженое,none
нарисуй мое мороженое с тремя шариками,text_to_image
сделай чтобы оно светилось в темноте,image_text_to_image

вот мой лучший друг Вася {image},add_face_to_db
а вот его сестра Таня {image},add_face_to_db
мы вчеар в прятки играли,none

смотри какую я картину нарисовал {image},describe_image
а сделай чтобы там был космос вместо фона,image_text_to_image
добавь ракету летящую,image_text_to_image

как думаешь как выглядят инопланетяне?,text_to_image
ооо круто! а сделай их дружелюбными,image_text_to_image
ты же запомнишь что я верю в инопланетян?,save_memory

вот мой щенок {image},describe_image
он умеет давать лапу!,none
а сделай его в костюме супергероя,image_text_to_image
и чтобы плащ был,image_text_to_image

это моя бабушка Оля {image},add_face_to_db
описывай что на фото,describe_image
напомни что она лучшая в мире печет пироги,save_memory

хочу увидеть как выглядит марс,text_to_image
а теперь с марсианином который машет рукой,image_text_to_image
запомни что я полечу на марс,save_memory

вот наш класс {image},describe_image
а узнаешь меня? я в красной футболке,describe_image
это моя учительница {image},add_face_to_db
ты же знаешь ее зовут МарьИванна?,get_memory

как бы выглядел я в скафандре?,text_to_image
сделай скафандр золотым и с фиолетовыми полосками,image_text_to_image
офигенно поставлю себе на аватарку,none

смотри я на карусели {image},describe_image
а сделай чтобы карусель была в космосе,image_text_to_image
и вокруг планеты летали,image_text_to_image

вот мой хомяк в колесе {image},describe_image
а сделай чтобы колесо было из огня,image_text_to_image
пусть он супер-хомяк будет!,none

это мой дед мороз с прошлого года {image},add_face_to_db
описывай что там,describe_image
он подарил мне машинку,save_memory

хочу увидеть огромного кита,text_to_image
а теперь чтобы он летал в облаках,image_text_to_image
напомни что коты мои любимые а теперь и киты,save_memory

а это моя тётя Лена{image},add_face_to_db
она живет в Америке,save_memory
описали что на фото?,describe_image

нарисуй супергероя которого я придумал,text_to_image
а теперь сделай чтобы у него был меч из света,image_text_to_image
ты же запомнишь что это мой персонаж?,save_memory

смотри как я катаюсь на скейте{image},describe_image
а сделай чтобы я был в радужном шлеме,image_text_to_image
и доска светилась,image_text_to_image

вот моя рыбка Золотая{image},describe_image
а представь ее в океане с акулами,image_text_to_image
пусть будет огромная!,none

это мой двоюродный брат{image},add_face_to_db
а это он женится{image},describe_image
запомни что у него скоро свадьба,save_memory

вчера видел крутую тачку{image},describe_image
а сделай ее розовой с неоновой подсветкой,image_text_to_image
и чтобы колеса светились,image_text_to_image

это моя первая учительница{image},add_face_to_db
ты же знаешь ее зовут Елена Петровна?,get_memory
а опиши фото,describe_image

нарисуй мою мечту - остров с сокровищами,text_to_image
а теперь добавь пиратский корабль,image_text_to_image
и сундук с золотом!,image_text_to_image

вот наш дачный дом{image},describe_image
а сделай чтобы он был как замок,image_text_to_image
с башнями и рвом!,none

запомни что я чемпион по шахматам,save_memory
вот моя медаль{image},describe_image
а это я на турнире{image},add_face_to_db

хочу увидеть как выглядит атом,text_to_image
а теперь в стиле мультяшки,image_text_to_image
крутяк! поставлю как обои,save_memory

смотри как я умею стоять на руках{image},describe_image
а сделай чтобы я был в цирке,image_text_to_image
и зрители аплодируют,image_text_to_image

это моя черепаха Тортила{image},describe_image
ей уже 10 лет!,save_memory
а сделай ее размером с машину,image_text_to_image

вот мои новые кроссовки{image},describe_image
а сделай чтобы они светились в темноте,image_text_to_image
и чтобы шнурки сами завязывались,none

нарисуй лес с говорящими деревьями,text_to_image
а теперь добавь фей и эльфов,image_text_to_image
напомни что это мой сказочный мир,save_memory

это мой прадедушка-герой{image},add_face_to_db
описывай его ордена,describe_image
я горжусь им!,save_memory

вот я собираю пазл{image},describe_image
а это готовый пазл{image},describe_image
ты же знаешь что я собрал за 2 часа?,get_memory

хочу увидеть ковер-самолет,text_to_image
а теперь чтобы я на нем летел,image_text_to_image
над горами и реками,image_text_to_image

смотри моя коллекция камней{image},describe_image
этот самый красивый - аметист,save_memory
а сделай чтобы камни светились,image_text_to_image

это мой пес Барбос{image},describe_image
а это он щенком{image},describe_image
запомни что он самый лучший,save_memory

нарисуй как я представляю ад,text_to_image
а теперь сделай менее страшно,image_text_to_image
и чтобы демоны улыбались,image_text_to_image

вот моя младшая сестра{image},add_face_to_db
ей всего 3 месяца!,save_memory
а опиши что на фото,describe_image

смотри как я готовлю блинчики{image},describe_image
а сделай чтобы блинчики с радугой,image_text_to_image
и чтобы мама улыбалась,none

нарисуй город будущего,text_to_image
а теперь добавь летающие машины,image_text_to_image
и чтобы небо было фиолетовое,image_text_to_image

это моя бабушкина дача{image},describe_image
а это ее клубника{image},describe_image
ты же знаешь что я люблю клубнику?,get_memory

вот я в костюме супермена{image},add_face_to_db
а сделай чтобы плащ был реальный,image_text_to_image
и лазеры из глаз!,image_text_to_image

хочу увидеть динозавра в городе,text_to_image
а теперь чтобы он играл в мяч,image_text_to_image
запомни что динозавры добрые,save_memory

это мой аквариум{image},describe_image
а вот рыбка Немо{image},describe_image
напомни их имена,save_memory

нарисуй мою школу волшебников,text_to_image
а теперь добавь летающие книги,image_text_to_image
и привидения в окнах,image_text_to_image

вот я с дельфином{image},add_face_to_db
это было в дельфинарии,save_memory
а опиши дельфина,describe_image

смотри моя модель ракеты{image},describe_image
а сделай чтобы она взлетала,image_text_to_image
с огнем и дымом!,image_text_to_image

это мой рекорд в игре{image},describe_image
ты же запомнишь что я чемпион?,save_memory
а сделай цифры золотыми,image_text_to_image

нарисуй подводное королевство,text_to_image
а теперь добавь русалок и тритонов,image_text_to_image
и затонувший корабль,image_text_to_image

вот моя бабушка вяжет{image},add_face_to_db
а опиши что она вяжет,describe_image
напомни что это мне на день рождения,save_memory

хочу увидеть как выглядит торнадо,text_to_image
а теперь чтобы в нем домик крутился,image_text_to_image
запомни что я видел торнадо во сне,save_memory

это мой первый велосипед{image},describe_image
а сделай его с реактивным двигателем,image_text_to_image
и чтобы крылья были,image_text_to_image

вот я в музее динозавров{image},describe_image
а это скелет тираннозавра{image},describe_image
ты же знаешь что я там был?,get_memory

а что ты сегодня кушал?,none
я ел макароны с сосисками,none
самые вкусные!,none

как думаешь сколько звезд на небе?,none
я вчера считал но уснул,none

а ты умеешь играть в майнкрафт?,none
я построил целый замок!,none

смотри какая птичка прилетела{image},describe_image
